Store Name,Wine Name,Harvest Year,Capacity,Price,Currency,Date of Scraping,Location,Discount
SuperMart,Sauvignon Blanc,1937,1.0,924.91,Euro,2/24/2023,Los Angeles,false
MegaStore,Zinfandel,1969,0.5,339.72,Marka,3/3/2023,Los Angeles,false
ShopSmart,Grenache,2000,0.75,446.59,Euro,7/31/2023,Tokyo,true
ValueMart,Chardonnay,1921,1.0,185.95,Peso,8/12/2023,Los Angeles,true
ValueMart,Zinfandel,1981,0.75,888.43,Yuan Renminbi,10/27/2022,Los Angeles,false
MegaStore,Sauvignon Blanc,1969,1.0,355.78,Lempira,12/3/2022,New York,false
ValueMart,Zinfandel,1988,1.0,702.57,Rupiah,8/12/2023,New York,false
SuperMart,Riesling,1986,1.0,274.3,Som,6/8/2023,Tokyo,true
ValueMart,Pinot Noir,2002,0.75,812.84,Peso,1/29/2023,New York,true
SuperMart,Riesling,1983,0.5,383.38,Euro,6/30/2023,Tokyo,true
MegaStore,Riesling,1991,1.0,583.33,Yuan Renminbi,8/2/2023,London,false
QuickMart,Merlot,2008,0.5,317.85,Ruble,2/5/2023,Paris,true
MegaStore,Zinfandel,1996,0.5,195.43,Ruble,2/26/2023,Paris,false
QuickMart,Zinfandel,2003,0.75,188.43,Real,8/17/2023,Los Angeles,true
ValueMart,Sauvignon Blanc,1903,0.75,288.65,Rupiah,8/22/2023,Tokyo,true
ShopSmart,Syrah,1902,0.75,342.43,Real,3/11/2023,New York,true
QuickMart,Zinfandel,1980,0.5,371.85,Koruna,5/26/2023,Paris,true
QuickMart,Syrah,2005,1.0,667.33,Zloty,5/22/2023,Tokyo,true
ValueMart,Chardonnay,1976,0.75,152.29,Yuan Renminbi,7/23/2023,Los Angeles,false
QuickMart,Malbec,1991,0.75,395.2,Yuan Renminbi,7/30/2023,New York,false
MegaStore,Pinot Noir,1931,0.75,480.1,Yuan Renminbi,1/4/2023,Paris,true
ValueMart,Syrah,2000,0.5,930.55,Peso,2/7/2023,New York,true
ValueMart,Cabernet Sauvignon,1976,1.0,572.22,Ruble,4/15/2023,New York,false
ValueMart,Merlot,1974,0.75,461.71,Peso,10/13/2023,Paris,false
MegaStore,Sauvignon Blanc,2011,1.0,512.07,Yuan Renminbi,1/24/2023,Tokyo,true
ValueMart,Riesling,2011,0.5,426.99,Real,6/22/2023,Paris,false
ShopSmart,Malbec,1913,1.0,120.64,Yuan Renminbi,5/31/2023,Los Angeles,true
QuickMart,Grenache,1910,0.5,197.26,Dollar,6/22/2023,London,false
ValueMart,Chardonnay,1969,0.5,424.69,Yuan Renminbi,3/28/2023,Tokyo,true
SuperMart,Sauvignon Blanc,1910,1.0,425.97,Peso,8/27/2023,New York,false
ShopSmart,Grenache,1993,1.0,718.05,Euro,2/7/2023,Los Angeles,true
ShopSmart,Cabernet Sauvignon,1981,0.5,428.93,Euro,5/3/2023,London,true
MegaStore,Cabernet Sauvignon,2016,0.75,248.02,Naira,5/27/2023,London,true
